schoolId,schoolName,firstName,lastName,childFirstName,childMiddleNames,childLastName,childDob,mobileNumber,emailAddress,consentGivenTest,consentGivenSurvey
74384636919,"QCc0P)FA'GPc5oBSR5/QpaQ8kU&wSh'LoKp5Ujoml'nbGR-X/vv2kziz.r/iEgdBjHHI8 f,m7d:A/",QaCcvOFNmr8iBMA)g,"""e",exwhF6,X5/yW,!r.x,1945-04-07,07860408388,,true,true
34600088170,"d 5VVrA8Jf6qQyUjgE.ma,lAU:jDjZBa 3,i&3Ds1IsLW",ps,K!bc(x9kCKhkAFhQmH0,MSP5/F)(PRx4q23ATV0,FL8(zX'0t,'kAaeLQ&XPR),1925-01-02,07135216939,,true,true
00668968848,rHfCg5N1Hm,E8:h/nrXv9XN:,cs,En9HQ6i2 Rv7MD,Y)8!:P/rg'5,"P83m)Feh,7HW",1900-03-20,07747779178,,true,true
86637485692,bnPrkkQ6:e/yNYSu3fGVFcOX,DXZlpb90AJmsEhf1U,"gLxB4UfxNoN5w"",q-LHE",59y1,O0xoH:x1'G,2Zh4(a,2015-11-26,07132161551,,true,true
41222749411,HVuEnOomz:dxdXLcKc,(EFZA(LijF0S&,/Tcki.I,"rQ/e'5(Zw,Dv(urv",zuXTH)Z0poT0wwftvyR,EEF4pdK&&bccsm2vNZZ,2020-03-05,07724183015,,true,true
03420616754,"Yp-2AlNYHU46Wm1h)XZeD9BPnsQCE,Q8.yH'kzKLn'""wP9P3,es,XtrQSuAfGMh 2By.:(aX I",)A1hAc .TS01IhUe2(1W,Lt75L,"QmP,0'Vd4zMOydDufXnT",ZW,Fva!x10R,1975-04-08,07200850639,,true,true
12182821163,"jtBn'5!4""JLf-CgFB'.0KND,f/EIiyqlkyQwZ4sHjeH'2GEi(4nKy&)NIe,QHu'6IJw6!c1x1d",Gg-JdcZxFTve1,xZ AS)a8SIpaL864H15,Rs32v,yZIaMfn.D(tAqTHaJt,ayaTnhZ2ZtRc!i,2001-01-06,07205753459,,true,true
98887114527,bxH!S''3&bUrPbEX'kX0CCMQw!9or9s3ErQ&HpXL3:/gFqtPh5JBd-ZSTTf7Hb4VNykpoQhcW,'Hv/,y5)drrdcQnu,.03g'NLCH/7EWAheDT,(vL3UkapZ,T 4Na(-6,1971-08-25,07155010155,,true,true
73290036314,"spLnP:Q6m7sEw bgq'&3NQF,i:5r6iUocS/yPQ58F!Eu",Ex6o7K9Oxy,3T,QZckgPeW7:GLdv,"qI8""3BuR6",::kjgQSMxi,1904-05-02,07943030829,,true,true
54292579134,"oEJnW""pvvIzw)p'7dkunJ'6RcTHPvKAi7tmAagz7ic34.'YalYqy'7ZUYL-Mappcg76-dhg-jqImZDml2jNh",gJM8WqO,SA(r&ih9t!8,BBh,"2""Xt:/iYl",):u,1939-09-01,07520632194,,true,true
17528738066,lP:PrDWh(6n2'0-EC,"O,X3G/4",JT.kg5BcYWX 0wGRHq,)RMbiW c,"Ic.FF2P3L,kBX4qdM",ukMlo)7s756JwUpZ-.,1956-02-19,07680449285,,true,true
86504291162,"V&(mRgFd/Kq""c0.4'sYXCU,)0r/!noEwSWARZGszXOoWjuQ6flB.zIiHcR1APlQSzO""6zuH-2Lq:",TU6R&qIZ,"eN&yMhA92""2Bh28FIYOP",eS!.se':8d,XNPTm.deqRb8IRW5g,F(SXfU'Zq0zoU8WOBpI,1970-10-25,07259082755,,true,true
27778718365,"4Vq3 23xvLXIaoXPwBs(PJnnqLSIVd61i93h9&n0FAe""!Mh: jsZ-n0ymA0f""wgKVys8Ns5xs""Cs6ox8Qs(8RG8wqB",KOQy(WOONysR/AQ5i,"e x""SC",5Kr&tcbu:-AORw5ZwEgL,"""C",FD,1973-07-05,07521464010,,true,true
67727995044,"uYVF07l &LY6MSZZ-HaV3,Xv&""uvI9HX WQzXx)kcfPohRQq4)np9-4rYF7kUJvgA""e0""-W2/&&zG,deciU&vdFmI/m"".8PkIp","rdctGg5Npyc""H,k",p6,d!h,G08!4me,9uK,2006-07-10,07997181752,,true,true
65487109187,"VuSgu58!YEOWq,FY8czFGLSDNkkPSdSXIzy:XNWaHvz","z-DiY/XfZl!G7,8r1c","l):o,xhOO3d0 nSJC","CYXw/-:L-t""q",A&VlsrL0J7fH0re i0OY,vEYL3Krk79X6qbp,1939-08-04,07636034514,,true,true
81880916525,"fec'K""IXd:5TEV'r",H :f:JvM/m,.kx4iblSHnCa,KJ6Il/,"XJ0mVF!7,HUh2ElR",Sr1gyszQG)2z,1936-02-15,07328014430,,true,true
54841948446,""" CH0KBUOrW/E.wke:SmNKgYv""yJxf,zH",P/,wgU)qLxkzw,nQ4,vNtK6NhntQRb)2gRG,&gMHK,1948-09-26,07522144667,,true,true
29949138010,qMIzoU7A  x:(OO,66nSj(b5KB3!:Tso,EBGhKLg,"p6v!.kV/u,X5mvr-Z65",!lMiI,Acl.dLG/Q4-w(jOfI,1972-07-28,07056304283,,true,true
75153983737,"xeEdS4xihFDdiGmpbyI)olX49EkF7XH(aw(WZ8AvK,YdeG)pmk1:hl1sbw",DF--dpQksuWUbd,":N2CnDe EfA,G",/O,5.peVur4/9W62Ar1v'F3,e0bZlX1VfS7V(5r,1981-02-03,07840424759,,true,true
28051686543,Nae'zZfxC,YW,-.BP3T8kUzxMfHbv)v,soY-pqjPfEgW,D1OiayD'EKhm,vhh0v,1909-11-08,07590850609,,true,true
